Survey,Wave,Country Numeric,Country ISO3,Region Numeric,Region Name,country,countrycode,countrycode_alpha2,adm_level,adm_area_1,adm_area_1_code,adm_area_2,adm_area_2_code,adm_area_3,adm_area_3_code,gid
WVS,2010-2014,76,BRA,76042,BR: Bahia,Brazil,BRA,BR,1,Bahia,BRA.5_1,,,,,BRA.5_1
WVS,2010-2014,76,BRA,76043,BR: Ceará,Brazil,BRA,BR,1,Ceará,BRA.6_1,,,,,BRA.6_1
WVS,2010-2014,76,BRA,76044,BR: Maranhão,Brazil,BRA,BR,1,Maranhão,BRA.10_1,,,,,BRA.10_1
WVS,2010-2014,76,BRA,76045,BR: Paraíba,Brazil,BRA,BR,1,Paraíba,BRA.15_1,,,,,BRA.15_1
WVS,2010-2014,76,BRA,76046,BR: Pernambuco,Brazil,BRA,BR,1,Pernambuco,BRA.17_1,,,,,BRA.17_1
WVS,2010-2014,76,BRA,76047,BR: Sergipe,Brazil,BRA,BR,1,Sergipe,BRA.26_1,,,,,BRA.26_1
WVS,2010-2014,76,BRA,76048,BR: Distrito Federal,Brazil,BRA,BR,1,Distrito Federal,BRA.7_1,,,,,BRA.7_1
WVS,2010-2014,76,BRA,76049,BR: Goiás,Brazil,BRA,BR,1,Goiás,BRA.9_1,,,,,BRA.9_1
WVS,2010-2014,76,BRA,76050,BR: Mato Grosso,Brazil,BRA,BR,1,Mato Grosso,BRA.12_1,,,,,BRA.12_1
WVS,2010-2014,76,BRA,76051,BR: Mato Grosso do Sul,Brazil,BRA,BR,1,Mato Grosso do Sul,BRA.11_1,,,,,BRA.11_1
WVS,2010-2014,76,BRA,76052,BR: Espírito Santo,Brazil,BRA,BR,1,Espírito Santo,BRA.8_1,,,,,BRA.8_1
WVS,2010-2014,76,BRA,76053,BR: Minas Gerais,Brazil,BRA,BR,1,Minas Gerais,BRA.13_1,,,,,BRA.13_1
WVS,2010-2014,76,BRA,76054,BR: Rio de Janeiro,Brazil,BRA,BR,1,Rio de Janeiro,BRA.19_1,,,,,BRA.19_1
WVS,2010-2014,76,BRA,76055,BR: São Paulo,Brazil,BRA,BR,1,São Paulo,BRA.25_1,,,,,BRA.25_1
WVS,2010-2014,76,BRA,76056,BR: Paraná,Brazil,BRA,BR,1,Paraná,BRA.16_1,,,,,BRA.16_1
WVS,2010-2014,76,BRA,76057,BR: Santa Catarina,Brazil,BRA,BR,1,Santa Catarina,BRA.24_1,,,,,BRA.24_1
WVS,2010-2014,76,BRA,76058,BR: Rio Grande do Sul,Brazil,BRA,BR,1,Rio Grande do Sul,BRA.21_1,,,,,BRA.21_1
,,,,,,,,,,,,,,,,
WVS,2005-2009,360,IDN,360004,ID: West java province,Indonesia,IDN,ID,1,Jawa Barat,IDN.9_1,,,,,IDN.9_1
WVS,2005-2009,360,IDN,360005,ID: Central Java province,Indonesia,IDN,ID,1,Jawa Tengah,IDN.10_1,,,,,IDN.10_1
WVS,2005-2009,360,IDN,360010,ID: Banten,Indonesia,IDN,ID,1,Banten,IDN.4_1,,,,,IDN.4_1
WVS,2005-2009,360,IDN,360011,ID: DKI,Indonesia,IDN,ID,1,Jakarta Raya,IDN.7_1,,,,,IDN.7_1
WVS,2005-2009,360,IDN,360012,ID: Dareah Istimewa Yogyakarta,Indonesia,IDN,ID,1,Yogyakarta,IDN.33_1,,,,,IDN.33_1
WVS,2005-2009,360,IDN,360013,ID: East Java,Indonesia,IDN,ID,1,Jawa Timur,IDN.11_1,,,,,IDN.11_1
WVS,2005-2009,360,IDN,360014,ID: Lampung,Indonesia,IDN,ID,1,Lampung,IDN.17_1,,,,,IDN.17_1
WVS,2005-2009,360,IDN,360015,ID: West Nusa Tenggara,Indonesia,IDN,ID,1,Nusa Tenggara Barat,IDN.20_1,,,,,IDN.20_1
WVS,2005-2009,360,IDN,360016,ID: South Kalimantan,Indonesia,IDN,ID,1,Kalimantan Selatan,IDN.13_1,,,,,IDN.13_1
WVS,2005-2009,360,IDN,360017,ID: Center Sulawesi,Indonesia,IDN,ID,1,Sulawesi Tengah,IDN.27_1,,,,,IDN.27_1
,,,,,,,,,,,,,,,,
EVS,2008-2010,792,TUR,-5,Unknown,Turkey,TUR,TR,0,,,,,,,TUR.8_1
,,,,,,,,,,,,,,,,
WVS,2010-2014,792,TUR,792041,TR: Istambul,Turkey,TUR,TR,1,Istanbul,TUR.40_1,Istanbul,,,,TUR.40_1
WVS,2010-2014,792,TUR,792042,TR: Western Marmara,Turkey,TUR,TR,1,Tekirdag,TUR.73_1,Tekirdag,,,,TUR.73_1
WVS,2010-2014,792,TUR,792042,TR: Western Marmara,Turkey,TUR,TR,1,Edirne,TUR.28_1,Edirne,,,,TUR.28_1
WVS,2010-2014,792,TUR,792042,TR: Western Marmara,Turkey,TUR,TR,1,Kirklareli,TUR.50_1,Kirklareli,,,,TUR.50_1
WVS,2010-2014,792,TUR,792042,TR: Western Marmara,Turkey,TUR,TR,1,Balikesir,TUR.12_1,Balikesir,,,,TUR.12_1
WVS,2010-2014,792,TUR,792042,TR: Western Marmara,Turkey,TUR,TR,1,Çanakkale,TUR.22_1,Çanakkale,,,,TUR.22_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,Turkey,TUR,TR,1,Aydin,TUR.11_1,Aydin,,,,TUR.11_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,Turkey,TUR,TR,1,Izmir,TUR.41_1,Izmir,,,,TUR.41_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,Turkey,TUR,TR,1,Denizli,TUR.25_1,Denizli,,,,TUR.25_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,Turkey,TUR,TR,1,Mugla,TUR.59_1,Mugla,,,,TUR.59_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,Turkey,TUR,TR,1,Manisa,TUR.56_1,Manisa,,,,TUR.56_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,Turkey,TUR,TR,1,Afyon,TUR.3_1,Afyon,,,,TUR.3_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,Turkey,TUR,TR,1,Kütahya,TUR.54_1,Kütahya,,,,TUR.54_1
WVS,2010-2014,792,TUR,792043,TR: Aegean,Turkey,TUR,TR,1,Usak,TUR.77_1,Usak,,,,TUR.77_1
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,Turkey,TUR,TR,1,Bursa,TUR.21_1,Bursa,,,,TUR.21_1
WVS,2010-2014,792,TUR,792044,TR: Eastern Marmara,Turkey,TUR,TR,1,Eskisehir,TUR.32_1,Eskisehir,,,,TUR.32_1
