Survey,Wave,Country Numeric,Country ISO3,Region Numeric,Region Name,NUTS1,NUTS2,NUTS3,gid
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND3,-5,GBR.1.93_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND3,-5,GBR.1.100_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND3,-5,GBR.1.104_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND3,-5,GBR.1.111_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND4,-5,GBR.1.5_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND4,-5,GBR.1.6_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND4,-5,GBR.1.48_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND5,-5,GBR.1.47_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND5,-5,GBR.1.82.1_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND5,-5,GBR.1.82.2_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND5,-5,GBR.1.79_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBND,GB-GBND5,-5,GBR.1.114_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNE,GB-GBNE1,-5,GBR.1.31_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNE,GB-GBNE1,-5,GBR.1.45_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNE,GB-GBNE1,-5,GBR.1.52.4_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNE,GB-GBNE1,-5,GBR.1.60_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNE,GB-GBNE2,-5,GBR.1.63_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNE,GB-GBNE2,-5,GBR.1.118_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNE,GB-GBNE3,-5,GBR.1.1_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNE,GB-GBNE3,-5,GBR.1.27_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNE,GB-GBNE3,-5,GBR.1.77_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNE,GB-GBNE3,-5,GBR.1.83_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNE,GB-GBNE4,-5,GBR.1.10_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNE,GB-GBNE4,-5,GBR.1.15_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNE,GB-GBNE4,-5,GBR.1.46_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNE,GB-GBNE4,-5,GBR.1.49_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNE,GB-GBNE4,-5,GBR.1.105_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNF,GB-GBNF1,-5,GBR.1.24_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNF,GB-GBNF1,-5,GBR.1.25_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNF,GB-GBNF1,-5,GBR.1.66_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNF,GB-GBNF1,-5,GBR.1.67_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNF,GB-GBNF2,-5,GBR.1.50_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNF,GB-GBNF2,-5,GBR.1.51_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNF,GB-GBNF2,-5,GBR.1.64_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNF,GB-GBNF2,-5,GBR.1.78_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNF,GB-GBNF3,-5,GBR.1.52_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNG,GB-GBNG1,-5,GBR.1.40_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNG,GB-GBNG1,-5,GBR.1.108_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNG,GB-GBNG1,-5,GBR.1.117_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNG,GB-GBNG2,-5,GBR.1.84_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNG,GB-GBNG2,-5,GBR.1.92_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNG,GB-GBNG2,-5,GBR.1.95_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNG,GB-GBNG2,-5,GBR.1.101_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNG,GB-GBNG3,-5,GBR.1.4_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNG,GB-GBNG3,-5,GBR.1.21_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNG,GB-GBNG3,-5,GBR.1.29_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNG,GB-GBNG3,-5,GBR.1.81_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNG,GB-GBNG3,-5,GBR.1.86_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNG,GB-GBNG3,-5,GBR.1.106_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNG,GB-GBNG3,-5,GBR.1.116_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNH,GB-GBNH1,-5,GBR.1.16_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNH,GB-GBNH1,-5,GBR.1.59_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNH,GB-GBNH1,-5,GBR.1.70_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNH,GB-GBNH1,-5,GBR.1.96_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNH,GB-GBNH2,-5,GBR.1.3.1_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNH,GB-GBNH2,-5,GBR.1.17_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNH,GB-GBNH2,-5,GBR.1.41_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNH,GB-GBNH2,-5,GBR.1.53_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNH,GB-GBNH3,-5,GBR.1.33_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNH,GB-GBNH3,-5,GBR.1.91_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNH,GB-GBNH3,-5,GBR.1.102_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI1,-5,GBR.1.36.6_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI1,-5,GBR.1.36.23_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI1,-5,GBR.1.36.11_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI1,-5,GBR.1.36.12_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI1,-5,GBR.1.36.13_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI1,-5,GBR.1.36.18_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI1,-5,GBR.1.36.19_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI1,-5,GBR.1.36.21_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI1,-5,GBR.1.36.22_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI1,-5,GBR.1.36.25_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI1,-5,GBR.1.36.28_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI1,-5,GBR.1.36.30_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI1,-5,GBR.1.36.32_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI1,-5,GBR.1.36.33_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI2,-5,GBR.1.36.1_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI2,-5,GBR.1.36.2_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI2,-5,GBR.1.36.3_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI2,-5,GBR.1.36.4_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI2,-5,GBR.1.36.5_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI2,-5,GBR.1.36.7_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI2,-5,GBR.1.36.8_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI2,-5,GBR.1.36.9_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI2,-5,GBR.1.36.10_1
EVS,2008-2010,826,GBR,-5,Unknown,GB-GBNI,GB-GBNI2,-5,GBR.1.36.14_1
