Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
Aruba,ABW,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2253299500.11,2017.0
Aruba,ABW,GDP per capita (current LCU),NY.GDP.PCAP.CN,45878.177021050404,2017.0
Australia,AUS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,4.432565154093821,2017.0
Australia,AUS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1020718298802.3,2017.0
Australia,AUS,GDP per capita (current LCU),NY.GDP.PCAP.CN,74017.7931911937,2018.0
Austria,AUT,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.6817576113514598,2017.0
Austria,AUT,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,340888011113.487,2017.0
Austria,AUT,GDP per capita (current LCU),NY.GDP.PCAP.CN,43597.866720801605,2018.0
Azerbaijan,AZE,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.5356368235907099,2012.0
Azerbaijan,AZE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,31007235435.8781,2017.0
Azerbaijan,AZE,GDP per capita (current LCU),NY.GDP.PCAP.CN,8026.002747443409,2018.0
"Bahamas, The",BHS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,0.8597831157935331,2017.0
"Bahamas, The",BHS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,10409089574.0233,2017.0
"Bahamas, The",BHS,GDP per capita (current LCU),NY.GDP.PCAP.CN,32217.871590084,2018.0
Bahrain,BHR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,8.60777552860625,2017.0
Bahrain,BHR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,30275998138.2446,2017.0
Bahrain,BHR,GDP per capita (current LCU),NY.GDP.PCAP.CN,9043.084822028759,2018.0
Bangladesh,BGD,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,6.00454436538564,2017.0
Bangladesh,BGD,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,236924640545.28198,2017.0
Bangladesh,BGD,GDP per capita (current LCU),NY.GDP.PCAP.CN,139472.889514845,2018.0
Barbados,BRB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0
Barbados,BRB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,3970519277.25299,2017.0
Barbados,BRB,GDP per capita (current LCU),NY.GDP.PCAP.CN,35898.5630108742,2018.0
Belarus,BLR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.33600252217694,2017.0
Belarus,BLR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,47300006216.2646,2017.0
Belarus,BLR,GDP per capita (current LCU),NY.GDP.PCAP.CN,12816.3787957601,2018.0
Belgium,BEL,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.6740869905186297,2017.0
Belgium,BEL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,407274522230.846,2017.0
Belgium,BEL,GDP per capita (current LCU),NY.GDP.PCAP.CN,40257.140825987,2018.0
Belize,BLZ,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-2.3395044876151,2017.0
Belize,BLZ,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1425331657.9989998,2017.0
Belize,BLZ,GDP per capita (current LCU),NY.GDP.PCAP.CN,9769.48484266752,2018.0
Benin,BEN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.2566818524740695,2017.0
Benin,BEN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,7674482533.80212,2017.0
Benin,BEN,GDP per capita (current LCU),NY.GDP.PCAP.CN,500759.387858022,2018.0
Bermuda,BMU,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0
Bermuda,BMU,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NaN,1960.0
Bermuda,BMU,GDP per capita (current LCU),NY.GDP.PCAP.CN,85748.0654143782,2013.0
Bhutan,BTN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.27940500242545,2017.0
Bhutan,BTN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2015408146.90732,2017.0
Bhutan,BTN,GDP per capita (current LCU),NY.GDP.PCAP.CN,221802.95502866802,2018.0
Bolivia,BOL,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.59444624051247,2017.0
Bolivia,BOL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,29443373531.9325,2017.0
Bolivia,BOL,GDP per capita (current LCU),NY.GDP.PCAP.CN,24520.7578659723,2018.0
Bosnia and Herzegovina,BIH,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.6446942728274503,2017.0
Bosnia and Herzegovina,BIH,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,15366436363.8888,2017.0
Bosnia and Herzegovina,BIH,GDP per capita (current LCU),NY.GDP.PCAP.CN,10050.8196775563,2018.0
Botswana,BWA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-2.16785476801479,2017.0
Botswana,BWA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,13119551415.5023,2017.0
Botswana,BWA,GDP per capita (current LCU),NY.GDP.PCAP.CN,84231.5380772858,2018.0
Brazil,BRA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,0.834743013961358,2017.0
Brazil,BRA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1745205233145.84,2017.0
Brazil,BRA,GDP per capita (current LCU),NY.GDP.PCAP.CN,32594.6805778963,2018.0
British Virgin Islands,VGB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0
British Virgin Islands,VGB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NaN,1960.0
British Virgin Islands,VGB,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Brunei Darussalam,BRN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.8021799958247406,2017.0
Brunei Darussalam,BRN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,10430753497.7179,2017.0
Brunei Darussalam,BRN,GDP per capita (current LCU),NY.GDP.PCAP.CN,42663.4527067666,2018.0
Bulgaria,BGR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,5.37477583325534,2017.0
Bulgaria,BGR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,50265578906.7335,2017.0
Bulgaria,BGR,GDP per capita (current LCU),NY.GDP.PCAP.CN,15364.7467560793,2018.0
Burkina Faso,BFA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,4.39600624923622,2017.0
Burkina Faso,BFA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,8770542310.98477,2017.0
