GEO,UNIT,ISCO08\TIME	2015	2016	2017	2018
TR31,P_HTHAB,OC221	241.41	233.87	256.37	256.90
TR32,P_HTHAB,OC221	179.63	183.72	188.73	185.64
TR33,P_HTHAB,OC221	150.90	148.01	152.54	152.69
TR41,P_HTHAB,OC221	168.79	167.29	168.79	175.67
TR42,P_HTHAB,OC221	163.72	162.40	172.36	165.29
TR51,P_HTHAB,OC221	318.50	312.65	313.86	305.20
TR52,P_HTHAB,OC221	179.93	178.42	187.64	187.74
TR61,P_HTHAB,OC221	203.76	199.70	201.60	212.59
TR62,P_HTHAB,OC221	166.96	163.39	172.45	177.70
TR63,P_HTHAB,OC221	128.97	132.26	141.83	139.76
TR71,P_HTHAB,OC221	138.25	138.98	145.18	147.07
TR72,P_HTHAB,OC221	179.81	179.44	189.38	187.62
TR81,P_HTHAB,OC221	166.80	165.77	176.38	164.01
TR82,P_HTHAB,OC221	117.25	122.96	128.71	130.32
TR83,P_HTHAB,OC221	169.72	165.29	175.35	174.67
TR90,P_HTHAB,OC221	167.33	170.24	180.49	174.24
TRA1,P_HTHAB,OC221	200.81	207.66	200.41	196.06
TRA2,P_HTHAB,OC221	114.52	117.00	121.66	112.11
TRB1,P_HTHAB,OC221	182.88	190.25	199.24	180.43
TRB2,P_HTHAB,OC221	109.88	119.15	123.60	114.98
TRC1,P_HTHAB,OC221	139.74	135.52	148.09	146.85
TRC2,P_HTHAB,OC221	144.72	124.94	132.31	131.69
TRC3,P_HTHAB,OC221	100.33	104.43	112.04	109.75
